"BSI";"Name";"Scenario";"Start";"End";"Effort";"Cost";"Revenue";
4.1;"    NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
4.2;"    NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
4.3;"    NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
3.1;"    PJ";"Initial Plan";"";"";23.4;0;0;
"";"";"Actual Plan Execution";"";"";40.0;0;0;
"";"";"Plan B";"";"";30.0;0;0;
"2.1.1";"    Buy the materials";"Initial Plan";"2018-07-01";"2018-07-31";1.0;250;0;
"";"";"Actual Plan Execution";"2018-07-01";"2018-07-15";1.0;250;0;
"";"";"Plan B";"2018-07-01";"2018-07-15";1.0;250;0;
3.3;"      AY";"Initial Plan";"";"";1.0;0;0;
"";"";"Actual Plan Execution";"";"";1.0;0;0;
"";"";"Plan B";"";"";1.0;0;0;
"2.1.2";"    Glue everything together";"Initial Plan";"2018-07-31";"2018-08-17";40.0;"7,994";0;
"";"";"Actual Plan Execution";"2018-07-16";"2018-08-10";60.0;"12,000";0;
"";"";"Plan B";"2018-07-16";"2018-08-10";60.0;"12,000";0;
3.3;"      AY";"Initial Plan";"";"";13.3;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";20.0;0;0;
3.2;"      JB";"Initial Plan";"";"";13.4;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";20.0;0;0;
3.1;"      PJ";"Initial Plan";"";"";13.4;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";20.0;0;0;
"2.1.3";"    Clean up the mess";"Initial Plan";"2018-08-17";"2018-08-31";30.0;"6,000";0;
"";"";"Actual Plan Execution";"2018-08-13";"2018-09-07";60.0;"12,000";0;
"";"";"Plan B";"2018-08-13";"2018-08-24";60.0;"12,000";0;
3.3;"      AY";"Initial Plan";"";"";10.0;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
3.2;"      JB";"Initial Plan";"";"";10.0;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
4.1;"      NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
4.2;"      NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
4.3;"      NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
3.1;"      PJ";"Initial Plan";"";"";10.0;0;0;
"";"";"Actual Plan Execution";"";"";20.0;0;0;
"";"";"Plan B";"";"";10.0;0;0;
2.2;"  Refining the Goods";"Initial Plan";"2018-08-31";"2019-02-27";80.5;"18,113";0;
"";"";"Actual Plan Execution";"2018-09-10";"2019-04-09";90.5;"19,569";0;
"";"";"Plan B";"2018-08-27";"2019-06-13";133.9;"28,350";0;
3.3;"    AY";"Initial Plan";"";"";7.5;0;0;
"";"";"Actual Plan Execution";"";"";0.3;0;0;
"";"";"Plan B";"";"";0.3;0;0;
3.2;"    JB";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.1;"    NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.2;"    NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
4.3;"    NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
2;"    The painter";"Initial Plan";"";"";58.5;0;0;
"";"";"Actual Plan Execution";"";"";68.5;0;0;
"";"";"Plan B";"";"";90.1;0;0;
3.1;"    PJ";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
"2.2.1";"    Paint the items";"Initial Plan";"2018-08-31";"2018-10-11";15.0;"3,000";0;
"";"";"Actual Plan Execution";"2018-09-10";"2018-11-16";25.0;"5,000";0;
"";"";"Plan B";"2018-08-27";"2018-11-02";25.0;"5,000";0;
2;"      The painter";"Initial Plan";"";"";15.0;0;0;
"";"";"Actual Plan Execution";"";"";25.0;0;0;
"";"";"Plan B";"";"";25.0;0;0;
"2.2.2";"    Screw bells onto items";"Initial Plan";"2018-10-11";"2018-10-29";21.8;"6,350";0;
"";"";"Actual Plan Execution";"2018-11-16";"2018-12-10";21.8;"5,806";0;
"";"";"Plan B";"2018-11-02";"2018-12-13";43.5;"10,263";0;
3.3;"      AY";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";0.0;0;0;
3.2;"      JB";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.1;"      NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.2;"      NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
4.3;"      NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
3.1;"      PJ";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
"2.2.2.1";"      Buy bells";"Initial Plan";"2018-10-11";"2018-10-18";0.0;"2,000";0;
"";"";"Actual Plan Execution";"2018-11-16";"2018-11-23";0.0;"2,000";0;
"";"";"Plan B";"2018-11-02";"2018-12-03";0.0;"2,000";0;
"2.2.2.2";"      Use screwdriver";"Initial Plan";"2018-10-18";"2018-10-29";21.8;"4,350";0;
"";"";"Actual Plan Execution";"2018-11-23";"2018-12-10";21.8;"3,806";0;
"";"";"Plan B";"2018-12-03";"2018-12-13";43.5;"8,263";0;
3.3;"        AY";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";0.0;0;0;
3.2;"        JB";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.1;"        NG 1";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.8;0;0;
4.2;"        NG 2";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
4.3;"        NG 3";"Initial Plan";"";"";0.0;0;0;
"";"";"Actual Plan Execution";"";"";0.0;0;0;
"";"";"Plan B";"";"";8.6;0;0;
3.1;"        PJ";"Initial Plan";"";"";7.3;0;0;
"";"";"Actual Plan Execution";"";"";10.9;0;0;
"";"";"Plan B";"";"";8.8;0;0;
"2.2.3";"    Repaint the items";"Initial Plan";"2018-10-29";"2019-02-27";43.5;"8,700";0;
"";"";"Actual Plan Execution";"2018-12-10";"2019-04-09";43.5;"8,700";0;
"";"";"Plan B";"2018-12-13";"2019-06-13";65.1;"13,025";0;
2;"      The painter";"Initial Plan";"";"";43.5;0;0;
"";"";"Actual Plan Execution";"";"";43.5;0;0;
"";"";"Plan B";"";"";65.1;0;0;
"2.2.4";"    Explain to Boss what you spent the last 3 months doing";"Initial Plan";"2019-02-27";"2019-02-27";0.3;63;0;
"";"";"Actual Plan Execution";"2019-04-09";"2019-04-09";0.3;63;0;
"";"";"Plan B";"2019-06-13";"2019-06-13";0.3;63;0;
3.3;"      AY";"Initial Plan";"";"";0.3;0;0;
"";"";"Actual Plan Execution";"";"";0.3;0;0;
"";"";"Plan B";"";"";0.3;0;0;
2.3;"  Selling the Goods";"Initial Plan";"2019-02-27";"2019-05-28";87.0;"28,988";0;
"";"";"Actual Plan Execution";"2019-04-09";"2019-07-09";87.0;"28,988";0;
"";"";"Plan B";"2019-06-13";"2019-09-11";87.0;"28,988";0;
1;"    The Big Boss";"Initial Plan";"";"";87.0;0;0;
"";"";"Actual Plan Execution";"";"";87.0;0;0;
"";"";"Plan B";"";"";87.0;0;0;
2.4;"  Get paid for the goods";"Initial Plan";"2019-05-28";"2019-05-28";0.0;0;"80,000";
"";"";"Actual Plan Execution";"2019-07-09";"2019-07-09";0.0;0;"80,000";
"";"";"Plan B";"2019-09-11";"2019-09-11";0.0;0;"80,000";
